id,home,away,day,month,time,season_type,week,year,final,home_score,away_score
2009080950,TEN,BUF,9,8,1249819200,PRE,0,2009,1,21,18
2009081350,PIT,ARI,13,8,1250164800,PRE,1,2009,1,20,10
2009081351,PHI,NE,13,8,1250163000,PRE,1,2009,1,25,27
2009081352,BAL,WAS,13,8,1250163000,PRE,1,2009,1,23,0
2009081353,OAK,DAL,13,8,1250172000,PRE,1,2009,1,31,10
2009081450,NYJ,LA,14,8,1250247600,PRE,1,2009,1,20,23
2009081451,IND,MIN,14,8,1250249400,PRE,1,2009,1,3,13
2009081452,NO,CIN,14,8,1250251200,PRE,1,2009,1,17,7
2009081453,SF,DEN,14,8,1250258400,PRE,1,2009,1,17,16
2009081550,DET,ATL,15,8,1250323200,PRE,1,2009,1,27,26
2009081551,BUF,CHI,15,8,1250334000,PRE,1,2009,1,27,20
2009081552,GB,CLE,15,8,1250337600,PRE,1,2009,1,17,0
2009081553,KC,HOU,15,8,1250337600,PRE,1,2009,1,10,16
2009081554,TEN,TB,15,8,1250337600,PRE,1,2009,1,27,20
2009081555,LAC,SEA,15,8,1250344800,PRE,1,2009,1,14,20
2009081750,NYG,CAR,17,8,1250510400,PRE,1,2009,1,24,17
2009081751,MIA,JAX,17,8,1250508600,PRE,1,2009,1,12,9
2009082050,IND,PHI,20,8,1250769600,PRE,2,2009,1,23,15
2009082051,NE,CIN,20,8,1250767800,PRE,2,2009,1,6,7
2009082150,DAL,TEN,21,8,1250856000,PRE,2,2009,1,30,10
2009082151,LA,ATL,21,8,1250856000,PRE,2,2009,1,13,20
2009082152,MIN,KC,21,8,1250856000,PRE,2,2009,1,17,13
2009082250,MIA,CAR,22,8,1250940600,PRE,2,2009,1,27,17
2009082251,CLE,DET,22,8,1250940600,PRE,2,2009,1,27,10
2009082252,WAS,PIT,22,8,1250940600,PRE,2,2009,1,17,13
2009082253,JAX,TB,22,8,1250940600,PRE,2,2009,1,23,24
2009082254,GB,BUF,22,8,1250942400,PRE,2,2009,1,31,21
2009082255,HOU,NO,22,8,1250942400,PRE,2,2009,1,14,38
2009082256,CHI,NYG,22,8,1250942400,PRE,2,2009,1,17,3
