id,name,market,alias,wins,losses,ties,points_for,points_against,points_rank,touchdown_diff,conf_h2h,rank_conference,rank_division,streak_type,streak_length,streak_desc,strength_of_schedule_wins,strength_of_schedule_total,strength_of_victory_wins,strength_of_victory_total,division,conference
97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,"New England",NE,12,4,0,468,313,12,20,1,1,1,loss,1,"Lost 1",132,256,94,192,"AFC East",AFC
768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,Buffalo,BUF,9,7,0,343,289,22,6,-2,9,2,win,1,"Won 1",132,256,70,144,"AFC East",AFC
4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,Miami,MIA,8,8,0,388,373,31,0,0,11,3,loss,1,"Lost 1",131,256,52,128,"AFC East",AFC
5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,"New York",NYJ,4,12,0,283,401,52,-19,0,13,4,win,1,"Won 1",139,256,24,64,"AFC East",AFC
cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,Pittsburgh,PIT,11,5,0,436,368,25,9,1,3,1,win,6,"Won 6",116,256,86,176,"AFC North",AFC
ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,Cincinnati,CIN,10,5,1,365,344,27,2,0,5,2,loss,1,"Lost 1",128,256,68,160,"AFC North",AFC
ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,Baltimore,BAL,10,6,0,409,302,14,16,0,6,3,win,1,"Won 1",122,256,61,160,"AFC North",AFC
d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,Cleveland,CLE,7,9,0,299,337,36,-4,0,12,4,loss,5,"Lost 5",123,256,42,112,"AFC North",AFC
82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,Indianapolis,IND,11,5,0,458,369,25,7,-1,4,1,win,1,"Won 1",123,256,66,176,"AFC South",AFC
82d2d380-3834-4938-835f-aec541e5ece7,Texans,Houston,HOU,9,7,0,372,307,21,4,0,7,2,win,2,"Won 2",115,256,43,144,"AFC South",AFC
f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,Jacksonville,JAC,3,13,0,249,412,58,-18,0,14,3,loss,1,"Lost 1",132,256,15,48,"AFC South",AFC
d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,Tennessee,TEN,2,14,0,254,438,59,-20,0,16,4,loss,10,"Lost 10",130,256,12,32,"AFC South",AFC
ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,Denver,DEN,12,4,0,482,354,18,17,-1,2,1,win,1,"Won 1",134,256,93,192,"AFC West",AFC
6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,"Kansas City",KC,9,7,0,353,281,18,14,0,8,2,win,1,"Won 1",131,256,72,144,"AFC West",AFC
9dbb9060-ba0f-4920-829e-16d4d9246b5d,Chargers,"San Diego",SD,9,7,0,348,348,30,2,0,10,3,loss,1,"Lost 1",131,256,58,144,"AFC West",AFC
